"operation","step","samples","avg_ms","p95_ms","min_ms","max_ms","limit_ms","result","timer_scope","run_id","iterations","input_generation","distinct_inputs","payload_bits_per_run","payload_pass","input_roundtrip_pass","input_verified_slots","final_correctness_pass","result_verified_slots","excluded_from_step_timer"
"ADD","step1","100","0.134355","0.267000","0.102100","0.396300","1.000000","PASS","Evaluator::add_inplace only","PACKAGE22_add_100_20260825_134055_850","100","seed 42 + iteration index","100/100","1024","100/100","100/100","6400/6400","100/100","3200/3200","roundtrip/final validation; statistics; terminal/file output"
"ADD","step2","100","0.108307","0.168700","0.090600","0.329800","1.000000","PASS","Evaluator::add_inplace only","PACKAGE22_add_100_20260825_134055_850","100","seed 42 + iteration index","100/100","1024","100/100","100/100","6400/6400","100/100","3200/3200","roundtrip/final validation; statistics; terminal/file output"
"ADD","step3","100","0.099714","0.118300","0.090600","0.302100","1.000000","PASS","Evaluator::add_inplace only","PACKAGE22_add_100_20260825_134055_850","100","seed 42 + iteration index","100/100","1024","100/100","100/100","6400/6400","100/100","3200/3200","roundtrip/final validation; statistics; terminal/file output"
"ADD","step4","100","0.098049","0.115500","0.090600","0.164100","1.000000","PASS","Evaluator::add_inplace only","PACKAGE22_add_100_20260825_134055_850","100","seed 42 + iteration index","100/100","1024","100/100","100/100","6400/6400","100/100","3200/3200","roundtrip/final validation; statistics; terminal/file output"
"ADD","step5","100","0.096314","0.115600","0.090600","0.191500","1.000000","PASS","Evaluator::add_inplace only","PACKAGE22_add_100_20260825_134055_850","100","seed 42 + iteration index","100/100","1024","100/100","100/100","6400/6400","100/100","3200/3200","roundtrip/final validation; statistics; terminal/file output"
"ADD","step6","100","0.096734","0.108100","0.090500","0.136300","1.000000","PASS","Evaluator::add_inplace only","PACKAGE22_add_100_20260825_134055_850","100","seed 42 + iteration index","100/100","1024","100/100","100/100","6400/6400","100/100","3200/3200","roundtrip/final validation; statistics; terminal/file output"
