"operation","step","samples","avg_ms","p95_ms","min_ms","max_ms","limit_ms","result","timer_scope","run_id","iterations","input_generation","distinct_inputs","payload_bits_per_run","payload_pass","input_roundtrip_pass","input_verified_slots","final_correctness_pass","result_verified_slots","excluded_from_step_timer"
"MUL","step1","100","18.541602","21.697600","17.563500","22.999000","20.000000","PASS","operand align + multiply + relinearize + mod-switch","PACKAGE22_mul_100_20260825_142742_621","100","seed 42 + iteration index","100/100","1024","100/100","100/100","6400/6400","100/100","3200/3200","roundtrip/final validation; statistics; terminal/file output"
"MUL","step2","100","18.080207","20.629700","17.137900","21.702700","20.000000","PASS","operand align + multiply + relinearize + mod-switch","PACKAGE22_mul_100_20260825_142742_621","100","seed 42 + iteration index","100/100","1024","100/100","100/100","6400/6400","100/100","3200/3200","roundtrip/final validation; statistics; terminal/file output"
"MUL","step3","100","18.084798","21.207800","16.841400","22.154000","20.000000","PASS","operand align + multiply + relinearize + mod-switch","PACKAGE22_mul_100_20260825_142742_621","100","seed 42 + iteration index","100/100","1024","100/100","100/100","6400/6400","100/100","3200/3200","roundtrip/final validation; statistics; terminal/file output"
"MUL","step4","100","17.526507","20.306500","16.218200","21.445500","20.000000","PASS","operand align + multiply + relinearize + mod-switch","PACKAGE22_mul_100_20260825_142742_621","100","seed 42 + iteration index","100/100","1024","100/100","100/100","6400/6400","100/100","3200/3200","roundtrip/final validation; statistics; terminal/file output"
"MUL","step5","100","16.651580","19.511700","15.452300","20.886700","20.000000","PASS","operand align + multiply + relinearize + mod-switch","PACKAGE22_mul_100_20260825_142742_621","100","seed 42 + iteration index","100/100","1024","100/100","100/100","6400/6400","100/100","3200/3200","roundtrip/final validation; statistics; terminal/file output"
"MUL","step6","100","15.893276","18.475600","14.615100","20.314300","20.000000","PASS","operand align + multiply + relinearize + mod-switch","PACKAGE22_mul_100_20260825_142742_621","100","seed 42 + iteration index","100/100","1024","100/100","100/100","6400/6400","100/100","3200/3200","roundtrip/final validation; statistics; terminal/file output"
